"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2030","Login with valid user credentials -- @1.1 ","","Wed Sep 25 16:17:04 PDT 2024","passed","Wed Sep 25 16:17:06 PDT 2024","","","",""
"","12190","Verify  new employee + button is disable mode in search with  existing lastname -- @1.1 ","","Wed Sep 25 16:18:48 PDT 2024","passed","Wed Sep 25 16:19:00 PDT 2024","","","",""
"","13088","Verify employee + button is disable mode in search with existing email -- @1.1 ","","Wed Sep 25 16:18:26 PDT 2024","passed","Wed Sep 25 16:18:39 PDT 2024","","","",""
"","474","Login with Invalid user credentials","","Wed Sep 25 16:17:06 PDT 2024","passed","Wed Sep 25 16:17:07 PDT 2024","","","",""
"","7965","Verify employee button should be disabled for exiting ssn number -- @1.1 ;","","Wed Sep 25 16:17:14 PDT 2024","passed","Wed Sep 25 16:17:22 PDT 2024","","","",""
"","10049","Verify employee + button is visible in Search for new SSN","","Wed Sep 25 16:17:04 PDT 2024","passed","Wed Sep 25 16:17:14 PDT 2024","","","",""
"","8178","Verify new employee + button is visible in search with new LastName,FirstName -- @1.1 ","","Wed Sep 25 16:17:53 PDT 2024","passed","Wed Sep 25 16:18:02 PDT 2024","","","",""
"","12166","Verify new employee + button is visible in search with new Email -- @1.1 ","","Wed Sep 25 16:18:14 PDT 2024","passed","Wed Sep 25 16:18:26 PDT 2024","","","",""
"","12270","Verify new employee +button is disable mode in search with existing Driverlicense -- @1.1 ","","Wed Sep 25 16:19:58 PDT 2024","passed","Wed Sep 25 16:20:10 PDT 2024","","","",""
"","11713","Verify new employee + button is disable id search with existing  Employee/RefId -- @1.1 ","","Wed Sep 25 16:20:46 PDT 2024","passed","Wed Sep 25 16:20:57 PDT 2024","","","",""
"","16048","Verify new employee + button be disabled  in search with new Last 4 Digit of SSN and Last Name -- @1.1 ","","Wed Sep 25 16:17:37 PDT 2024","passed","Wed Sep 25 16:17:53 PDT 2024","","","",""
"","11153","Verify new employee +button is disable in search with existing PersonId -- @1.1 ","","Wed Sep 25 16:20:24 PDT 2024","passed","Wed Sep 25 16:20:35 PDT 2024","","","",""
"","9057","Verify new employee + button is visible in search with new lastname -- @1.1 ","","Wed Sep 25 16:18:39 PDT 2024","passed","Wed Sep 25 16:18:48 PDT 2024","","","",""
"","6294","Verify employee button should be disabled for exiting ssn number -- @1.2 ;","","Wed Sep 25 16:17:22 PDT 2024","passed","Wed Sep 25 16:17:29 PDT 2024","","","",""
"","10966","Verify new employee+ button is disable in search with existing ApplicationID -- @1.1 ","","Wed Sep 25 16:21:06 PDT 2024","passed","Wed Sep 25 16:21:17 PDT 2024","","","",""
"","12213","Verify new   employee + button is disable mode in search with existing LastName,FirstName -- @1.1 ","","Wed Sep 25 16:18:02 PDT 2024","passed","Wed Sep 25 16:18:14 PDT 2024","","","",""
"","12901","Verify  new employee + button is disable mode in search with Existing Passport# -- @1.1 ","","Wed Sep 25 16:19:35 PDT 2024","passed","Wed Sep 25 16:19:48 PDT 2024","","","",""
"","14277","Verify new employee +button is visible in search with new PersonId -- @1.1 ","","Wed Sep 25 16:20:10 PDT 2024","broken","Wed Sep 25 16:20:24 PDT 2024","","","",""
"","10404","Verify new employee +button is visible in search with new firstname -- @1.1 ","","Wed Sep 25 16:19:00 PDT 2024","passed","Wed Sep 25 16:19:11 PDT 2024","","","",""
"","8723","Verify new employee+ buttion is visible in search with new ApplicationID -- @1.1 ","","Wed Sep 25 16:20:57 PDT 2024","passed","Wed Sep 25 16:21:06 PDT 2024","","","",""
"","1476","Demo failed test cases","","Wed Sep 25 16:21:17 PDT 2024","failed","Wed Sep 25 16:21:19 PDT 2024","","","",""
"","9296","Verify new employee +button is visible in search with new Driverlicense -- @1.1 ","","Wed Sep 25 16:19:48 PDT 2024","passed","Wed Sep 25 16:19:58 PDT 2024","","","",""
"","8655","Verify new employee + button is visible in search with new Last 4 Digit of SSN and Last Name -- @1.1 ","","Wed Sep 25 16:17:29 PDT 2024","passed","Wed Sep 25 16:17:37 PDT 2024","","","",""
"","14407","Verify  new employee + button is disable mode in search with  existing firstname -- @1.1 ","","Wed Sep 25 16:19:11 PDT 2024","passed","Wed Sep 25 16:19:25 PDT 2024","","","",""
"","10286","Verify new employee +button is visible in search with new Employee/RefId -- @1.1 ","","Wed Sep 25 16:20:35 PDT 2024","passed","Wed Sep 25 16:20:46 PDT 2024","","","",""
"","10194","Verify new employee +button is visible in search with new Passport# -- @1.1 ","","Wed Sep 25 16:19:25 PDT 2024","passed","Wed Sep 25 16:19:35 PDT 2024","","","",""
